"","Tree_number","Tree_species","Variable","Instrument","Value"
"1",6,NA,"Height","Clinometer","8 m"
"2",6,NA,"DBH","Biltmore stick","21 cm"
"3",6,NA,"DBH","Diameter tape","21 cm"
"4",6,NA,"Height","Staff hypsometer","13 m"
"5",6,NA,"DBH","Calipers","19.8 cm"
"6",3,NA,"DBH","Calipers","20.8 cm"
"7",3,NA,"Height","Clinometer","20.28 cm"
"8",3,NA,"DBH","Diameter tape","21.6 cm"
"9",3,NA,"Height","Staff hypsometer","15.5m"
"10",3,NA,"DBH","Biltmore stick","21cm"
"11",2,NA,"DBH","Diameter tape","32.8 cm"
"12",2,NA,"DBH","Clinometer","13.3 cm"
"13",2,NA,"Height","Staff hypsometer","22 cm"
"14",2,NA,"DBH","Biltmore stick","33 cm"
"15",2,NA,"DBH","Calipers","12.45 cm"
"16",11,NA,"Height","Clinometer","20.06 m"
"17",11,NA,"DBH","Biltmore stick","27 cm"
"18",11,NA,"DBH","Calipers","27.8 cm"
"19",11,NA,"DBH","Diameter tape","29.3"
"20",11,NA,NA,NA,NA
"21",3,"white ash (Fraxinus americana)","DBH","Biltmore stick","22.125"
"22",3,"white ash (Fraxinus americana)","Height","Clinometer","21"
"23",12,"red oak (Quercus rubra)","DBH","Calipers","29.7"
"24",12,"red oak (Quercus rubra)","Height","Staff hypsometer","17"
"25",4,"eastern hemlock (Tsuga canadensis)","DBH","Calipers","45"
"26",4,"eastern hemlock (Tsuga canadensis)","Height","Staff hypsometer","13"
"27",5,"eastern hemlock (Tsuga canadensis)","DBH","Calipers","29.5275"
"28",5,"eastern hemlock (Tsuga canadensis)","DBH","Diameter tape","31.5"
"29",5,"eastern hemlock (Tsuga canadensis)","DBH","Biltmore stick","30"
"30",5,"eastern hemlock (Tsuga canadensis)","Height","Staff hypsometer","13"
"31",5,"eastern hemlock (Tsuga canadensis)","Height","Clinometer","11.05"
"32",10,"sugar maple (Acer saccharum)","DBH","Diameter tape","19.3"
"33",10,"sugar maple (Acer saccharum)","DBH","Calipers","17.9"
"34",10,"sugar maple (Acer saccharum)","Height","Staff hypsometer","18.4"
"35",10,"sugar maple (Acer saccharum)","DBH","Biltmore stick","20"
"36",10,"sugar maple (Acer saccharum)","Height","Clinometer","20"
"37",1,"eastern white pine (Pinus strobus)","Height","Staff hypsometer","22.9"
"38",1,"eastern white pine (Pinus strobus)","DBH","Diameter tape","37.4"
"39",1,"eastern white pine (Pinus strobus)","DBH","Biltmore stick","35"
"40",1,"eastern white pine (Pinus strobus)","Height","Calipers","35.56"
"41",1,"eastern white pine (Pinus strobus)","HEIGHT","Clinometer","26.3"
"42",9,"shagbark hickory (Carya ovata)","DBH","Calipers","40.894"
"43",9,"shagbark hickory (Carya ovata)","DBH","Biltmore stick","37.5"
"44",9,"shagbark hickory (Carya ovata)","HEIGHT","Staff hypsometer","15.6"
"45",9,"shagbark hickory (Carya ovata)","Height","Clinometer","20.7"
"46",9,"shagbark hickory (Carya ovata)","DBH","Diameter tape","42.5"
"47",1,"eastern white pine (Pinus strobus)","DBH","Biltmore stick","36"
"48",1,"eastern white pine (Pinus strobus)","Height","Staff hypsometer","24.6"
"49",1,"eastern white pine (Pinus strobus)","DBH","Calipers","14.3"
"50",1,"eastern white pine (Pinus strobus)","DBH","Diameter tape","37.3"
"51",NA,NA,NA,NA,NA
"52",7,"red maple (Acer rubrum)","DBH","Calipers","20.95"
"53",7,"red maple (Acer rubrum)","DBH","Biltmore stick","25"
"54",7,"red maple (Acer rubrum)","Height","Staff hypsometer","20.1"
"55",7,"red maple (Acer rubrum)","DBH","Diameter tape","24.5"
"56",NA,NA,NA,NA,NA
"57",9,"shagbark hickory (Carya ovata)","DBH","Diameter tape","42.7"
"58",9,"shagbark hickory (Carya ovata)","DBH","Biltmore stick","35.2"
"59",9,"shagbark hickory (Carya ovata)","DBH","Calipers","40.64"
"60",9,"shagbark hickory (Carya ovata)","Height","Staff hypsometer","85"
"61",NA,NA,NA,NA,NA
"62",6,"sugar maple (Acer saccharum)","DBH","Diameter tape","20.7"
"63",6,"sugar maple (Acer saccharum)","DBH","Calipers","18.28"
"64",6,"sugar maple (Acer saccharum)","DBH","Biltmore stick","18.3"
"65",6,"sugar maple (Acer saccharum)","Height","Clinometer","12.1"
"66",6,"sugar maple (Acer saccharum)","Height","Staff hypsometer","16"
"67",NA,NA,NA,NA,NA
"68",12,"red oak (Quercus rubra)",NA,"Calipers","30.2"
"69",12,"red oak (Quercus rubra)",NA,"Diameter tape","30.1"
"70",12,"red oak (Quercus rubra)",NA,"Staff hypsometer","18.1"
"71",12,"red oak (Quercus rubra)",NA,"Clinometer","18.24"
"72",12,"red oak (Quercus rubra)",NA,"Biltmore stick","30"
"73",6,"sugar maple (Acer saccharum)","DBH","Calipers","12.7cm"
"74",3,"white ash (Fraxinus americana)","DBH","Diameter tape","21.7cm"
"75",12,"red oak (Quercus rubra)","DBH","Biltmore stick","33.0cm"
"76",3,"white ash (Fraxinus americana)","Height","Staff hypsometer","30.52m"
"77",4,"eastern hemlock (Tsuga canadensis)","DBH","Calipers","38.1cm"
"78",10,"sugar maple (Acer saccharum)","Dbh","Diameter tape","19.1cm"
"79",10,"sugar maple (Acer saccharum)","Height","Staff hypsometer","21.5m"
"80",10,"sugar maple (Acer saccharum)","DBH","Clinometer","24.84m"
"81",10,"sugar maple (Acer saccharum)","DBH","Calipers","19.05cm"
"82",2,"American beech (Fagus grandifolia)","DBH","Calipers","30.48cm"
"83",2,"American beech (Fagus grandifolia)","DBH","Diameter tape","33.95cm"
"84",2,"American beech (Fagus grandifolia)","Height","Clinometer","8.54m"
"85",7,"red oak (Quercus rubra)","DBH","Diameter tape","24cm"
"86",7,"red oak (Quercus rubra)","Height","Staff hypsometer","17m"
"87",7,"red oak (Quercus rubra)","Height","Clinometer","21.12m"
"88",7,"red oak (Quercus rubra)","DBH","Biltmore stick","27cm"
"89",11,"white ash (Fraxinus americana)","DBH","Calipers","28.19cm"
"90",11,"white ash (Fraxinus americana)","DBH","Diameter tape","29cm"
"91",11,"white ash (Fraxinus americana)","Height","Clinometer",NA
"92",11,"white ash (Fraxinus americana)","DBH","Biltmore stick","30cm"
"93",13,"red oak (Quercus rubra)","DBH","Diameter tape","42cm"
"94",13,"red oak (Quercus rubra)","DBH","Calipers","30.1cm"
"95",13,"red oak (Quercus rubra)","Height","Clinometer","31.29m"
"96",7,"red maple (Acer rubrum)","DBH","Diameter tape","25"
"97",7,"red maple (Acer rubrum)","DBH","Calipers","9.33"
"98",7,"red maple (Acer rubrum)","DBH","Biltmore stick","25"
"99",9,"shagbark hickory (Carya ovata)","DBH","Diameter tape","43.2"
"100",9,"shagbark hickory (Carya ovata)","DBH","Biltmore stick","44"
"101",8,"black birch (Betula lenta)","DBH","Biltmore stick","20"
"102",8,"black birch (Betula lenta)","DBH","Diameter tape","20.2"
"103",8,"black birch (Betula lenta)","DBH","Calipers","7.6"
"104",4,"eastern hemlock (Tsuga canadensis)","DBH","Calipers","14.8"
"105",4,"eastern hemlock (Tsuga canadensis)","DBH","Biltmore stick","39"
"106",4,"eastern hemlock (Tsuga canadensis)","DBH","Diameter tape","39.2"
"107",3,"white ash (Fraxinus americana)","DBH","Calipers","8.1"
"108",3,"white ash (Fraxinus americana)","DBH","Diameter tape","21.5"
"109",3,"white ash (Fraxinus americana)","DBH","Biltmore stick",NA
"110",9,"shagbark hickory (Carya ovata)","DBH","Diameter tape","42.3"
"111",9,"shagbark hickory (Carya ovata)","DBH","Calipers","41.275"
"112",9,"shagbark hickory (Carya ovata)","DBH","Biltmore stick","42"
"113",9,"shagbark hickory (Carya ovata)","Height","Staff hypsometer","7"
"114",9,"shagbark hickory (Carya ovata)","Height","Clinometer","4.8"
"115",11,"white ash (Fraxinus americana)","DBH","Calipers","28"
"116",11,"white ash (Fraxinus americana)","DBH","Diameter tape","29"
"117",11,"white ash (Fraxinus americana)","DBH","Biltmore stick","25"
"118",11,"white ash (Fraxinus americana)","Height","Staff hypsometer","22.2"
"119",11,"white ash (Fraxinus americana)","Height","Clinometer","6.003"
"120",12,"red oak (Quercus rubra)","DBH","Diameter tape","31"
"121",12,"red oak (Quercus rubra)","DBH","Biltmore stick","32.5"
"122",12,"red oak (Quercus rubra)","DBH","Calipers","30.48"
"123",12,"red oak (Quercus rubra)","Height","Staff hypsometer","16.86"
"124",12,"red oak (Quercus rubra)","Height","Clinometer","18.467"
"125",4,"eastern hemlock (Tsuga canadensis)","DBH","Diameter tape","39"
"126",4,"eastern hemlock (Tsuga canadensis)","DBH","Biltmore stick","44"
"127",4,"eastern hemlock (Tsuga canadensis)","DBH","Calipers","38.35"
"128",4,"eastern hemlock (Tsuga canadensis)","Height","Staff hypsometer",NA
"129",4,"eastern hemlock (Tsuga canadensis)","Height","Clinometer","8.2"
"130",1,"eastern white pine (Pinus strobus)","DBH","Diameter tape","37.2"
"131",1,"eastern white pine (Pinus strobus)","DBH","Calipers","35.6"
"132",1,"eastern white pine (Pinus strobus)","Height","Clinometer","25.65"
"133",1,"eastern white pine (Pinus strobus)","Height","Staff hypsometer","26"
"134",1,"eastern white pine (Pinus strobus)","Height","Staff hypsometer",NA
"135",2,"black birch (Betula lenta)","Height","Clinometer","24.92"
"136",2,"black birch (Betula lenta)","DBH","Diameter tape","33"
"137",2,"black birch (Betula lenta)","DBH","Calipers","31"
"138",2,"black birch (Betula lenta)","Height","Biltmore stick",NA
"139",2,"black birch (Betula lenta)","Height","Staff hypsometer",NA
"140",3,"red oak (Quercus rubra)","DBH","Biltmore stick","40"
"141",3,"red oak (Quercus rubra)","DBH","Diameter tape","41"
"142",3,"red oak (Quercus rubra)","DBH","Calipers","38.1"
"143",3,"red oak (Quercus rubra)","Height","Staff hypsometer","19"
"144",3,"red oak (Quercus rubra)","Height","Clinometer","16.4"
